"Date","Price","Open","High","Low","Change %"
"07/10/2019","-0.595","-0.549","-0.495","-0.615","8.28%"
"07/09/2019","-0.549","-0.595","-0.495","-0.618","-7.96%"
"07/08/2019","-0.597","-0.614","-0.518","-0.629","10.09%"
"07/07/2019","-0.542","-0.542","-0.542","-0.542","0.00%"
"07/06/2019","-0.542","-0.542","-0.542","-0.542","-8.95%"
"07/05/2019","-0.595","-0.597","-0.506","-0.633","2.32%"
"07/04/2019","-0.582","-0.603","-0.521","-0.617","2.65%"
"07/03/2019","-0.567","-0.565","-0.508","-0.629","-4.16%"
"07/02/2019","-0.591","-0.547","-0.493","-0.622","3.46%"
"07/01/2019","-0.572","-0.571","-0.480","-0.609","8.42%"
"06/30/2019","-0.527","-0.527","-0.527","-0.527","0.00%"
"06/29/2019","-0.527","-0.527","-0.527","-0.527","-6.82%"
"06/28/2019","-0.566","-0.594","-0.494","-0.601","-4.43%"
"06/27/2019","-0.592","-0.563","-0.482","-0.598","3.88%"
"06/26/2019","-0.570","-0.585","-0.502","-0.603","2.85%"
"06/25/2019","-0.554","-0.554","-0.497","-0.599","5.38%"
"06/24/2019","-0.526","-0.579","-0.485","-0.597","-9.76%"
"06/23/2019","-0.583","-0.513","-0.513","-0.583","1.96%"
"06/22/2019","-0.572","-0.513","-0.513","-0.572","0.00%"
"06/21/2019","-0.572","-0.592","-0.497","-0.593","9.90%"
"06/20/2019","-0.520","-0.543","-0.501","-0.606","-9.64%"
"06/19/2019","-0.576","-0.563","-0.514","-0.606","-4.08%"
"06/18/2019","-0.600","-0.552","-0.492","-0.609","9.27%"
"06/17/2019","-0.549","-0.549","-0.488","-0.556","14.02%"
"06/16/2019","-0.482","-0.482","-0.482","-0.482","0.00%"
"06/15/2019","-0.482","-0.482","-0.482","-0.482","-10.52%"
"06/14/2019","-0.538","-0.490","-0.464","-0.558","2.57%"
"06/13/2019","-0.525","-0.514","-0.446","-0.549","-2.33%"
"06/12/2019","-0.537","-0.458","-0.457","-0.546","9.48%"
"06/11/2019","-0.491","-0.526","-0.451","-0.545","-2.91%"
"06/10/2019","-0.505","-0.521","-0.435","-0.543","9.87%"
"06/09/2019","-0.460","-0.460","-0.460","-0.460","0.00%"
"06/08/2019","-0.460","-0.460","-0.460","-0.460","-8.80%"
"06/07/2019","-0.504","-0.477","-0.438","-0.538","-1.98%"
"06/06/2019","-0.515","-0.540","-0.449","-0.558","-5.72%"
"06/05/2019","-0.546","-0.490","-0.466","-0.551","6.39%"
"06/04/2019","-0.513","-0.479","-0.451","-0.549","2.44%"
"06/03/2019","-0.501","-0.543","-0.467","-0.567","2.12%"
"06/02/2019","-0.490","-0.490","-0.490","-0.490","0.00%"
"06/01/2019","-0.490","-0.490","-0.490","-0.490","-4.96%"
"05/31/2019","-0.516","-0.459","-0.441","-0.574","2.56%"
"05/30/2019","-0.503","-0.525","-0.437","-0.551","3.03%"
"05/29/2019","-0.488","-0.487","-0.435","-0.547","-1.49%"
"05/28/2019","-0.496","-0.522","-0.432","-0.550","4.45%"
"05/27/2019","-0.475","-0.475","-0.419","-0.543","-5.80%"
"05/24/2019","-0.504","-0.514","-0.417","-0.532","4.35%"
"05/23/2019","-0.483","-0.468","-0.464","-0.538","-0.96%"
"05/22/2019","-0.488","-0.502","-0.412","-0.535","1.75%"
"05/21/2019","-0.479","-0.504","-0.444","-0.543","-3.31%"
"05/20/2019","-0.495","-0.522","-0.452","-0.564","4.56%"
"05/19/2019","-0.474","-0.474","-0.474","-0.474","0.00%"
